"Date","6.0 Marshmallow","9.0 Pie","10.0","7.0 Nougat","11.0","5.1 Lollipop","8.1 Oreo","8.0 Oreo","12.0","7.1 Nougat","4.4 KitKat","13.0","5.0 Lollipop","4.2 Jelly Bean","4.1 Jelly Bean","4.3 Jelly Bean","2.3 Gingerbread","4.0 Ice Cream Sandwich","2.0 Eclair","27.0","2.2 Froyo","14.0","6.1 Marshmallow","Other"
2017-06,34.68,0,0,10.58,0,23.19,0,0.01,0,1.21,14.67,0,7.83,3.29,2.04,1.19,0.72,0.51,0,0,0.04,0,0.02,0.03
2017-07,34.88,0,0,11.32,0,23.02,0,0.01,0,1.36,14.22,0,7.62,3.17,1.96,1.16,0.68,0.5,0,0,0.04,0,0.02,0.03
2017-08,35.21,0,0,13.33,0,22.09,0,0.01,0,1.73,13.26,0,7.27,2.95,1.81,1.1,0.69,0.46,0,0,0.05,0,0.02,0.03
2017-09,34.76,0,0,15.06,0,21.92,0,0.14,0,2.03,12.47,0,6.99,2.77,1.68,1.02,0.65,0.42,0,0,0.05,0,0.02,0.03
2017-10,33.33,0,0,18.22,0,21.25,0,0.24,0,2.79,11.67,0,6.45,2.5,1.52,0.92,0.62,0.4,0,0,0.04,0,0.02,0.03
2017-11,31.88,0,0,20.43,0,20.61,0.01,0.32,0,4,10.96,0,6.1,2.34,1.4,0.86,0.61,0.38,0,0,0.04,0,0.02,0.02
2017-12,30.39,0,0,22.21,0,20.24,0.16,0.33,0,5.18,10.37,0,5.78,2.2,1.32,0.8,0.57,0.36,0,0,0.04,0,0.02,0.02
2018-01,29.23,0,0,23.69,0,19.64,0.3,0.56,0,6.17,9.88,0,5.54,2.08,1.25,0.74,0.5,0.34,0,0,0.03,0,0.02,0.02
2018-02,28.21,0,0,24.75,0,19.29,0.34,1.01,0,6.95,9.46,0,5.26,2,1.15,0.71,0.46,0.33,0,0,0.03,0,0.02,0.02
2018-03,27.18,0,0,25.34,0,18.77,0.4,2.07,0,7.62,8.78,0,4.87,1.83,1.06,0.66,0.43,0.35,0.56,0,0.03,0,0.03,0.02
2018-04,25.82,0,0,24.13,0,18.19,0.64,4.33,0,8.86,8.33,0,4.6,1.72,1,0.64,0.43,0.37,0.84,0,0.03,0,0.03,0.02
2018-05,24.97,0,0,24.21,0,17.26,1.1,5.85,0,10.02,7.66,0,4.22,1.54,0.89,0.57,0.36,0.34,0.93,0,0.02,0,0.03,0.02
2018-06,24.1,0,0,23.46,0,16.17,1.69,8.03,0,10.64,7.27,0,3.98,1.5,0.87,0.56,0.37,0.32,0.96,0,0.02,0,0.04,0.02
2018-07,23.24,0,0,22.05,0,15.42,2.76,10.7,0,11.03,6.72,0,3.76,1.37,0.78,0.54,0.32,0.29,0.96,0,0.02,0,0.02,0.01
2018-08,22.43,0,0,21.26,0,14.54,3.92,12.67,0,10.88,6.37,0,3.61,1.35,0.76,0.51,0.29,0.28,1.06,0,0.02,0,0.02,0.01
2018-09,21.65,0,0,20.22,0,14.03,6.13,14.9,0,10.57,5.76,0,3.38,1.21,0.67,0.48,0.29,0.27,0.35,0,0.02,0,0.02,0.05
2018-10,21.02,0,0,18.28,0,13.71,8.79,16.28,0,10.09,5.6,0,3.33,1.17,0.66,0.46,0.27,0.28,0,0,0.01,0,0.02,0.01
2018-11,20.54,0.4,0,15.71,0,13.94,12.34,14.97,0,9.95,5.54,0,3.36,1.27,0.74,0.47,0.32,0.31,0,0.04,0.01,0,0.02,0.09
2018-12,18.6,1.22,0,13.76,0,12.35,15.71,18.28,0,9.52,4.75,0,2.85,1.09,0.63,0.42,0.27,0.24,0,0.09,0.02,0,0.02,0.19
2019-01,17.54,2.33,0,12.69,0,11.54,16.74,20.23,0,8.84,4.54,0,2.78,1.02,0.59,0.42,0.25,0.23,0,0.08,0.02,0,0.01,0.14
2019-02,16.91,4.67,0,11.93,0,11.02,17.53,19.95,0,8.55,4.25,0,2.6,0.94,0.55,0.33,0.22,0.23,0,0.1,0.02,0,0.01,0.18
2019-03,16.33,7.61,0,11.68,0,10.34,18.29,18.81,0,8.01,4.1,0,2.51,0.83,0.49,0.31,0.19,0.22,0,0.1,0.01,0,0.01,0.17
2019-04,15.95,11.23,0,11.03,0,10.05,18.54,16.56,0,7.62,4.07,0,2.49,0.89,0.51,0.33,0.18,0.21,0,0.12,0.01,0,0.01,0.19
2019-05,15.36,14.73,0,10.65,0,9.63,18.92,14.95,0,7.5,3.8,0,2.34,0.77,0.41,0.3,0.15,0.2,0,0.1,0.01,0,0.01,0.17
2019-06,15.13,18.58,0.01,10.32,0,9.41,18.02,13.32,0,7.23,3.71,0,2.29,0.73,0.39,0.3,0.15,0.16,0,0.08,0.01,0,0.01,0.14
2019-07,14.99,22.51,0.01,10.06,0,9.18,16.84,11.47,0,7.28,3.58,0,2.33,0.63,0.34,0.28,0.13,0.13,0,0.08,0.01,0,0.01,0.14
