"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Playstation","Other"
2019-02,74.44,13.22,9.51,1.58,1.25,0,0,0,0
2019-03,79.46,14.35,3.2,1.7,1.28,0,0,0,0
2019-04,79.45,14.05,3.62,1.63,1.24,0,0,0,0.01
2019-05,78.91,13.89,4.3,1.55,1.35,0,0,0,0.01
2019-06,78.43,13.53,5.66,1.6,0.77,0,0,0,0.01
2019-07,77.61,13.17,7.03,1.65,0.54,0,0,0,0.01
2019-08,78.32,13.22,5.87,1.72,0.86,0,0,0,0
2019-09,79.1,14.37,3.31,1.74,1.48,0,0,0,0
2019-10,77.93,15.93,2.79,1.77,1.58,0,0,0,0
2019-11,77.25,16.73,2.65,1.82,1.54,0,0,0,0
2019-12,77.64,16.46,2.59,1.85,1.45,0,0,0,0
2020-01,77.7,17.04,1.83,1.9,1.52,0,0,0,0
2020-02,77.22,17.7,1.67,1.91,1.5,0,0,0,0
2020-03,77.1,18.34,1.61,1.71,1.24,0,0,0,0
2020-04,76.52,18.99,1.75,1.61,1.12,0,0,0,0
2020-05,77.04,18.38,1.83,1.68,1.06,0,0,0,0
2020-06,77.68,17.76,2.06,1.69,0.8,0,0,0,0
2020-07,77.74,17.07,2.67,1.85,0.67,0,0,0,0
2020-08,77.21,16.97,3.09,1.84,0.9,0,0,0,0
2020-09,77.12,17.57,2.05,1.73,1.52,0,0,0,0
2020-10,76.32,17.65,2.92,1.53,1.58,0,0,0,0
2020-11,73.21,16.54,6.51,1.8,1.92,0,0,0,0.01
2020-12,76.56,17.1,2.68,1.93,1.72,0,0,0,0.01
2021-01,76.26,16.91,3,1.91,1.91,0,0,0,0.01
2021-02,75.89,16.74,3.4,1.98,1.99,0,0,0,0.01
2021-03,75.56,16.48,3.9,1.97,2.09,0,0,0,0.01
2021-04,74.94,16.02,4.81,2.18,2.04,0,0,0,0.01
2021-05,73.54,15.87,5.93,2.38,2.27,0,0,0,0.01
2021-06,72.98,15.56,7.27,2.68,1.51,0,0,0,0.01
2021-07,73.04,15.43,7.93,2.38,1.21,0,0,0,0.01
2021-08,76.12,16.14,3.61,2.38,1.74,0,0,0,0.01
2021-09,75.4,15.93,3.74,2.33,2.59,0,0,0,0.01
2021-10,75.18,15.89,4.23,2.15,2.54,0,0,0,0.01
2021-11,74.28,16.04,4.99,2.08,2.6,0,0,0,0.01
2021-12,73.72,15.33,6.67,2.09,2.18,0,0,0,0.01
2022-01,75.5,15.85,3.86,2.19,2.6,0,0,0,0.01
2022-02,75.85,15.76,3.31,2.19,2.87,0,0,0,0.01
2022-03,75.7,15.32,3.83,2.36,2.79,0,0,0,0.01
2022-04,74.79,15.38,4.97,2.49,2.36,0,0,0,0.01
2022-05,75.54,14.98,4.81,2.45,2.22,0,0,0,0.01
2022-06,76.33,14.64,4.88,2.42,1.71,0,0,0,0.01
2022-07,75.21,14.51,6,2.76,1.5,0,0,0,0.01
2022-08,74.73,14.39,6.19,2.8,1.88,0,0,0,0.01
2022-09,75.06,14.86,4.86,2.8,2.41,0,0,0,0.01
2022-10,75.96,15.7,3.34,2.6,2.38,0,0,0,0.01
2022-11,75.11,15.6,4.03,2.77,2.48,0,0,0,0.01
2022-12,75.34,14.66,4.78,2.93,2.28,0,0,0,0.01
2023-01,74.14,15.33,5.27,2.91,2.35,0,0,0,0.01
2023-02,71.78,16.26,6.12,2.94,2.9,0,0,0,0.01
2023-03,69.4,17.21,7.3,2.85,3.23,0,0,0,0.01
2023-04,62.65,17.79,13,2.83,3.72,0,0,0,0.01
2023-05,62.06,18.96,12.69,2.7,3.59,0,0,0,0.01
2023-06,68.23,21.32,3.24,3.07,4.13,0,0,0,0.01
2023-07,69.52,20.42,3.69,3.12,3.24,0,0,0,0.01
2023-08,69.26,20.18,4.02,3.18,3.34,0,0,0,0.01
2023-09,68.41,20.15,4.52,3.02,3.89,0,0,0,0.01
2023-10,68.87,20.34,3.75,2.92,4.1,0,0,0,0.01
2023-11,69.02,21.01,3.03,3.22,3.71,0,0,0,0.01
